USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day,Borough
997280,99999,KINGS POINT,NY,40.8,-73.77,44.2,37.8,53.2,,0.0,6.2,8.9,,0,,0,2010,3,7,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.8,41.4,54.9,,0.0,6.1,12.0,,0,,0,2010,3,8,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,49.1,43.2,55.6,,0.0,,,,0,,0,2010,3,9,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,52.6,46.6,66.6,,0.0,4.0,13.0,,0,,0,2010,4,1,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,48.5,42.4,59.9,,0.0,12.9,22.0,,0,,0,2010,4,10,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,58.9,53.4,69.6,,0.0,8.1,13.0,,0,,0,2010,4,11,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,56.8,46.8,62.2,,0.0,5.5,13.0,,0,,0,2010,4,12,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,52.4,49.5,57.4,,0.0,4.2,8.9,,0,,0,2010,4,13,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,52.1,44.6,62.6,,0.0,2.5,11.1,,0,,0,2010,4,14,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,58.4,50.5,69.3,,0.0,4.6,13.0,,0,,0,2010,4,15,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.0,47.7,61.0,,0.0,3.3,8.0,,0,,0,2010,4,16,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.4,45.0,51.3,,0.0,4.6,14.0,,0,,0,2010,4,17,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,48.2,43.2,53.4,,0.0,8.8,14.0,,0,,0,2010,4,18,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,52.3,47.5,57.7,,0.0,8.8,13.0,,0,,0,2010,4,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.0,44.2,60.6,,0.0,5.1,11.1,,0,,0,2010,4,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,55.5,46.4,70.2,,0.0,3.3,14.0,,0,,0,2010,4,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,56.3,50.9,63.9,,0.0,6.9,16.9,,0,,0,2010,4,21,BRONX
